,_runtime,dev loss,total epoch time,n_bias_params,_step,epoch,n_batch_norm_params,train accuracy,train F1,n_pos_enc_params,dev eval epoch time,dev F1,n_all_params,n_circ_params,batch loss,loss,dev accuracy,train epoch time,_timestamp
528,202.92697191238403,0.0021173933162054884,2.781784001986186,,528,0.0,,0.7914891089696952,0.814159994706544,,0.006717522939046224,0.8160676532769556,,,,0.003919898995039934,0.8004587155963303,2.7750664790471395,1715044575.853461
1056,370.25264048576355,0.0020105418398839617,5.570540956656139,,1056,1.0,,0.8399382321934995,0.8612291135655622,,0.01346214214960734,0.8117154811715481,,,,0.003273663505289885,0.7935779816513762,5.55707881450653,1715044743.1791296
1584,537.0222280025482,0.0019269287586212158,8.350029734770457,,1584,2.0,,0.8534053957742506,0.8715740728696489,,0.020100494225819904,0.8161530286928799,,,,0.0029800625404544597,0.801605504587156,8.329929240544637,1715044909.948717
2112,703.9186556339264,0.001997675883387207,11.131632824738821,,2112,3.0,,0.8619133171984736,0.8784885544057698,,0.027052084604899086,0.8076514346439958,,,,0.002787539191790421,0.7924311926605505,11.10458074013392,1715045076.8451447
2640,871.5743780136108,0.0020187876161632187,13.92589073975881,,2640,4.0,,0.8685058426999659,0.8837795275590551,,0.033811736106872554,0.8289054197662061,,,,0.0026427091480471436,0.8153669724770642,13.892079003651936,1715045244.5008671
3168,1038.808648109436,0.002052899962718334,16.713124644756316,,3168,5.0,,0.8714309046904928,0.8860012902036679,,0.040598638852437335,0.8147368421052632,,,,0.0025416815516238886,0.7981651376146789,16.67252600590388,1715045411.7351372
3696,1206.1317358016968,0.0019845526084440565,19.50183862845103,,3696,6.0,,0.8736284131909902,0.8880146313864291,,0.04744055271148681,0.8269230769230769,,,,0.0024634517627395423,0.8142201834862385,19.454398075739544,1715045579.058225
4224,1373.5391085147858,0.0020125043501547715,22.291957342624663,,4224,7.0,,0.8778452538270798,0.8914171077118006,,0.05426039298375447,0.8140276301806588,,,,0.002390381420327199,0.7993119266055045,22.23769694964091,1715045746.4655976
4752,1539.9972877502441,0.0022413117144632778,25.066256205240883,,4752,8.0,,0.8828787361356516,0.895840485936881,,0.06098153193791707,0.8112798264642083,,,,0.0023175410545897657,0.8004587155963303,25.005274673302967,1715045912.9237769
5280,1706.6993434429169,0.0021656031523822642,27.844618916511532,,5280,9.0,,0.8851356367577841,0.8977720220947749,,0.06791261037190754,0.8179871520342612,,,,0.0022678838987995036,0.805045871559633,27.776706306139626,1715046079.6258326
5808,1873.6494805812836,0.0021577341430777802,30.627116342385605,,5808,10.0,,0.8867986161635659,0.8992547174797823,,0.07460454702377319,0.8078602620087336,,,,0.002227554721013392,0.7981651376146789,30.552511795361834,1715046246.5759697
6336,2040.5208621025085,0.0021817613085475538,33.40830188592275,,6336,11.0,,0.887303449197464,0.899677487575341,,0.08147108554840087,0.8216216216216217,,,,0.00220716367082204,0.8107798165137615,33.326830800374346,1715046413.4473512
6864,2207.430745124817,0.0020392492345166864,36.19012877543767,,6864,12.0,,0.8897533742149104,0.901544785520122,,0.08851916392644245,0.8284789644012945,,,,0.002153067243412684,0.8176605504587156,36.10160961151123,1715046580.3572342
7392,2374.3884732723236,0.002172418553894813,38.97275352875391,,7392,13.0,,0.8897088301236841,0.9016158940397351,,0.09529646237691242,0.8179871520342612,,,,0.0021387942136550904,0.805045871559633,38.877457066377005,1715046747.3149624
7920,2541.3691301345825,0.0022710049781230614,41.75576033194859,,7920,14.0,,0.8930050928744302,0.90460177928405,,0.10195813973744708,0.816931216931217,,,,0.0021131363772562183,0.801605504587156,41.65380219221115,1715046914.2956192
8448,2708.150776863098,0.0024287649045843596,44.53545033137003,,8448,15.0,,0.8941929353071315,0.9057532072477186,,0.10882105032602944,0.8118393234672304,,,,0.00207194811209363,0.7958715596330275,44.42662928104401,1715047081.077266
8976,2875.213989019394,0.0022935475641434346,47.31983315944671,,8976,16.0,,0.8966131642637604,0.9077540638289416,,0.11566914319992064,0.8085106382978723,,,,0.0020558049851680652,0.7935779816513762,47.2041640162468,1715047248.1404781
9504,3042.13649058342,0.002215000775155671,50.10187074740727,,9504,17.0,,0.8965834682029429,0.9077397904441471,,0.12255223592122394,0.8245243128964059,,,,0.0020330710511272786,0.8096330275229358,49.979318511486056,1715047415.0629797
10032,3208.91854596138,0.0024358617193108306,52.881567255655916,,10032,18.0,,0.8977416145748266,0.9086713787478948,,0.1293047030766805,0.8132337246531484,,,,0.0020203568685944924,0.7993119266055045,52.752262552579246,1715047581.845035
10560,3376.1726772785187,0.0022800419855555265,55.66913190682728,,10560,19.0,,0.8989591530683455,0.9099450803943625,,0.1361577272415161,0.8210075026795284,,,,0.0019940120001413005,0.8084862385321101,55.53297417958578,1715047749.0991664
11088,3543.3975970745087,0.002404266882927046,58.45620979865391,,11088,20.0,,0.9002657797443169,0.9110390040394676,,0.14282552003860471,0.8093716719914803,,,,0.001990607176296578,0.7947247706422018,58.31338427861532,1715047916.3240862
11616,3710.866811275482,0.002386636587731335,61.24735925594965,,11616,21.0,,0.8990779373116156,0.9098839907192575,,0.1494600693384806,0.8073196986006459,,,,0.0019799886599171355,0.7947247706422018,61.09789918661118,1715048083.7933004
12144,3877.9342288970947,0.0024394819495874806,64.0318109234174,,12144,22.0,,0.9003548679267696,0.9109368157025123,,0.15648235479990638,0.828752642706131,,,,0.001973558128066834,0.8142201834862385,63.875328568617505,1715048250.860718
12672,4045.3369665145874,0.0023927336234018342,66.82185020446776,,12672,23.0,,0.8991670254940682,0.9100541714679276,,0.16317495505015053,0.8201284796573876,,,,0.0019742739930239837,0.8073394495412844,66.65867524941763,1715048418.2634556
13200,4212.679526090622,0.002462405745589405,69.61088863611221,,13200,24.0,,0.9010972694472078,0.9116285240464345,,0.17006690502166746,0.8144220572640509,,,,0.0019420582782463036,0.7993119266055045,69.44082173109055,1715048585.6060152
13728,4379.657160520554,0.002446403641492949,72.39384489854176,,13728,25.0,,0.9023445040015442,0.9128516344459314,,0.17683170239130655,0.8118393234672304,,,,0.001934758265996684,0.7958715596330275,72.21701319615046,1715048752.5836496
14256,4546.600051879883,0.0023333631592606188,75.17622129122415,,14256,26.0,,0.9037253708295595,0.9139482415394824,,0.18375256458918252,0.8266953713670614,,,,0.0019241896571901556,0.8153669724770642,74.99246872663498,1715048919.526541
14784,4713.805935621262,0.0023363307460185583,77.96298189163207,,14784,27.0,,0.9030423614307562,0.9134296698926156,,0.19059804677963255,0.8177966101694916,,,,0.001911363349111116,0.8027522935779816,77.77238384485246,1715049086.7324247
15312,4880.7191116809845,0.0023285921218745204,80.74486416180928,,15312,28.0,,0.9026860087009458,0.9129869095350628,,0.19757997194925941,0.8171122994652407,,,,0.0019162280747799458,0.8038990825688074,80.54728418986004,1715049253.6456008
15840,5047.3516182899475,0.0026193357525615517,83.52206836938856,,15840,29.0,,0.9022405677886828,0.91274385072095,,0.20425317684809363,0.8192513368983957,,,,0.0019165717078498867,0.8061926605504587,83.3178151925405,1715049420.2781074
