,total epoch time,_runtime,dev accuracy,loss,train accuracy,dev eval epoch time,batch loss,train epoch time,dev F1,dev loss,train F1,n_combiner_params,_timestamp,_step,n_all_params,n_classifier_params,epoch
1054,0.20555601914723715,49.95302677154541,0.8520642201834863,0.0048136465484535694,0.8676892010274837,0.006398169199625651,,0.1991578499476115,0.8571428571428571,0.001687168459826653,0.8812294240740001,,1715245358.0343518,1054,,,0.0
2108,0.388837742805481,60.950239181518555,0.8589449541284404,0.003137494623981858,0.9189149059377274,0.011495590209960938,,0.37734215259552,0.8634850166481687,0.0018038176205180108,0.9274950543687516,,1715245369.0315642,2108,,,1.0
3162,0.5498880942662557,70.61350059509277,0.8612385321100917,0.0023503125430314577,0.9402366776047157,0.01661431392033895,,0.5332737803459168,0.8632768361581921,0.0018030625827815555,0.9465194456624281,,1715245378.6948256,3162,,,2.0
4216,0.7022816061973572,79.75735688209534,0.8520642201834863,0.0019344214880604876,0.9504818185867645,0.021788803736368816,,0.6804928024609884,0.853907134767837,0.00201802724681863,0.9556851854312556,,1715245387.838682,4216,,,3.0
5270,0.8572225213050844,89.05405163764954,0.8451834862385321,0.0016608497200323253,0.9579652259127827,0.026719244321187337,,0.8305032769838969,0.8501664816870145,0.0021557556379825696,0.9623772376307361,,1715245397.1353767,5270,,,4.0
6324,1.0246328552563986,99.09892654418945,0.8394495412844036,0.0014807226825778465,0.961885105940697,0.031977089246114095,,0.9926557660102845,0.8364485981308412,0.0025322111579803154,0.9658902161925137,,1715245407.1802516,6324,,,5.0
7378,1.1862717549006145,108.797527551651,0.8623853211009175,0.001369046896457027,0.9652704568738957,0.03716751337051392,,1.1491042415301005,0.8636363636363636,0.0023200274744165053,0.9688908986925931,,1715245416.8788526,7378,,,6.0
8432,1.3379998922348024,117.90146136283875,0.8360091743119266,0.0012469064849555845,0.9684627834117804,0.042419127623240155,,1.295580764611562,0.8440567066521265,0.002543594278053406,0.971784585137756,,1715245425.9827864,8432,,,7.0
9486,1.4952023188273114,127.33384990692139,0.8486238532110092,0.0012060587147847352,0.9689082243240434,0.047483003139495855,,1.4477193156878152,0.85,0.002299860735005195,0.9721794122336186,,1715245435.415175,9486,,,8.0
10540,1.6460965394973757,136.3877716064453,0.8428899082568807,0.0011437962284953091,0.9702000029696061,0.0525631864865621,,1.5935333530108133,0.8476084538375973,0.0026238830674678907,0.9733370531266191,,1715245444.4690967,10540,,,9.0
11594,1.8010526537895204,145.68537735939026,0.8555045871559633,0.0010990458005808688,0.9714175414631249,0.05765743652979534,,1.743395217259725,0.8581081081081081,0.0025059386335928506,0.9744135043530272,,1715245453.7667024,11594,,,10.0
12648,1.9660346627235414,155.5845386981964,0.8532110091743119,0.001076882483182691,0.9723084232876509,0.06306844949722291,,1.9029662132263183,0.8558558558558559,0.002482206586304061,0.9752129822835954,,1715245463.6658638,12648,,,11.0
13702,2.126865752538045,165.23468470573425,0.8520642201834863,0.0010832098817367634,0.9722044870747896,0.06824227968851726,,2.058623472849528,0.8561872909698997,0.0028255154643583736,0.9751533009476786,,1715245473.3160098,13702,,,12.0
14756,2.2916969299316405,175.12479615211487,0.8371559633027523,0.0010377599834280919,0.972872648443184,0.07327793041865031,,2.2184189995129904,0.8397291196388262,0.002998118143562877,0.9757335068867962,,1715245483.2061212,14756,,,13.0
15810,2.4492639501889544,184.57910013198853,0.8360091743119266,0.0009530369687792004,0.9745801719401921,0.07833709716796876,,2.370926853020986,0.8426842684268426,0.003099496416542508,0.9772612564749634,,1715245492.6604252,15810,,,14.0
16864,2.6007231473922725,193.66693139076233,0.8256880733944955,0.0009729732919926496,0.9741495790583379,0.08353248834609986,,2.5171906590461735,0.831858407079646,0.0033978628456045727,0.9768554830304561,,1715245501.7482564,16864,,,15.0
17918,2.760440373420715,203.2502043247223,0.8463302752293578,0.0010202341502774344,0.9735408098115785,0.08883498509724935,,2.6716053883234663,0.8524229074889867,0.0032014232983282945,0.9763296317942723,,1715245511.3315294,17918,,,16.0
18972,2.9233485460281368,213.0249297618866,0.8394495412844036,0.0008919007897245756,0.9764361757412879,0.0939424475034078,,2.82940609852473,0.8409090909090909,0.002852542616358591,0.978917303221521,,1715245521.1062548,18972,,,17.0
20026,3.0719588756561276,221.9417850971222,0.8394495412844036,0.0010095411190232469,0.9738080743589362,0.09905449946721395,,2.9729043761889145,0.8426966292134831,0.00306011285256902,0.9765537774469669,,1715245530.0231102,20026,,,18.0
21080,3.231430045763651,231.51029777526855,0.8428899082568807,0.0009469461702074204,0.9746989561834623,0.1041711727778117,,3.1272588729858404,0.8455467869222097,0.0029268344744629816,0.9773663098052758,,1715245539.5916228,21080,,,19.0
22134,3.3933761835098264,241.22736263275146,0.8302752293577982,0.0009443403826855707,0.9758422545249372,0.10938559373219808,,3.283990589777629,0.8333333333333334,0.0033683750197428084,0.9783985448558796,,1715245549.3086877,22134,,,20.0
23188,3.5356379866600034,249.76333713531494,0.838302752293578,0.0009632342537013855,0.9748771325483675,0.11451953649520874,,3.4211184501647955,0.8410372040586246,0.003054228739454112,0.9775274929607395,,1715245557.8446622,23188,,,21.0
24242,3.6951959729194637,259.33709716796875,0.8153669724770642,0.000912012670622632,0.9752334852781779,0.1199378490447998,,3.575258123874665,0.8220994475138121,0.0036256167730060193,0.9778409543799984,,1715245567.4184222,24242,,,22.0
25296,3.8489695906639096,268.5637581348419,0.8222477064220184,0.0008920510674320035,0.9761243671027038,0.12500431537628173,,3.723965275287629,0.8298572996706916,0.0034335367039802973,0.9786408798682323,,1715245576.6450832,25296,,,23.0
26350,4.004581717650096,277.90073585510254,0.8302752293577982,0.0008956571145373656,0.9766292001366019,0.13018316825230916,,3.874398549397787,0.8387799564270153,0.003356041027865279,0.9791108161911082,,1715245585.982061,26350,,,24.0
27404,4.163721573352814,287.4493923187256,0.8325688073394495,0.0008741241292846431,0.9770597930184561,0.13527994553248088,,4.028441627820333,0.8366890380313199,0.0029165681895859745,0.9795079249287088,,1715245595.5307174,27404,,,25.0
28458,4.313727601369222,296.44999861717224,0.8394495412844036,0.0008469986223297751,0.9781733952991136,0.14049081007639566,,4.173236791292827,0.8444444444444444,0.0029399056295189288,0.9804868983460323,,1715245604.5313237,28458,,,26.0
29512,4.467179159323375,305.65733909606934,0.8348623853211009,0.001033666816609107,0.9722490311660158,0.1456268310546875,,4.321552328268687,0.8363636363636363,0.003191157081805238,0.9751960823346737,,1715245613.7386642,29512,,,27.0
30566,4.623454666137696,315.0341467857361,0.8291284403669725,0.0009881667883994765,0.9735853539028048,0.15098593632380167,,4.472468729813894,0.8289322617680827,0.0032821750832260203,0.9763628874745891,,1715245623.1154718,30566,,,28.0
31620,4.784559853871664,324.70070147514343,0.8222477064220184,0.0008639869171593444,0.977327057565814,0.15609879891077677,,4.628461054960887,0.8260381593714927,0.0037591339114609115,0.9797353788170345,,1715245632.7820265,31620,,,29.0
